location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,64.00703,25.989305,115.0,10800,Europe/Helsinki,EEST
1,55.99297,9.959017,56.0,7200,Europe/Copenhagen,CEST
2,64.99121,-18.0,847.0,0,Atlantic/Reykjavik,GMT
3,61.968365,14.962779,380.0,7200,Europe/Stockholm,CEST
4,31.528997,34.772728,170.0,10800,Asia/Jerusalem,IDT
5,52.26713,5.822551,26.0,7200,Europe/Amsterdam,CEST
6,61.968365,10.272953,801.0,7200,Europe/Oslo,CEST
7,49.59578,6.062176,316.0,7200,Europe/Luxembourg,CEST
8,46.994724,8.035714,920.0,7200,Europe/Zurich,CEST
9,-24.991213,135.04845,189.0,34200,Australia/Darwin,ACST
10,-42.003513,173.9738,0.0,43200,Pacific/Auckland,NZST
11,10.017574,-84.089325,1412.0,-21600,America/Costa_Rica,CST
12,29.490334,47.757225,80.0,10800,Asia/Kuwait,+03
13,47.34622,13.404256,1357.0,7200,Europe/Vienna,CEST
14,60.140594,-113.70628,279.0,-21600,America/Edmonton,MDT
15,50.720562,4.4760213,94.0,7200,Europe/Brussels,CEST
16,53.321613,-8.04184,34.0,3600,Europe/Dublin,IST
17,49.736378,14.974003,430.0,7200,Europe/Prague,CEST
18,55.43058,23.951614,55.0,10800,Europe/Vilnius,EEST
19,54.727592,-2.8458557,71.0,3600,Europe/London,BST
20,46.08084,15.023847,696.0,7200,Europe/Ljubljana,CEST
21,23.725834,54.45618,101.0,14400,Asia/Dubai,+04
22,39.753952,-98.51181,543.0,-18000,America/Chicago,CDT
23,51.493847,10.434783,309.0,7200,Europe/Berlin,CEST
24,23.022846,-102.03763,2064.0,-21600,America/Mexico_City,CST
25,-33.005272,-55.987732,103.0,-10800,America/Montevideo,-03
26,46.010544,2.0,550.0,7200,Europe/Paris,CEST
27,24.99121,45.04844,789.0,10800,Asia/Riyadh,+03
28,42.565903,20.942564,598.0,7200,Europe/Belgrade,CEST
29,1.3005272,103.862564,15.0,28800,Asia/Singapore,+08
30,24.007029,121.113464,1133.0,28800,Asia/Taipei,CST
31,46.010544,25.000002,583.0,10800,Europe/Bucharest,EEST
32,13.813708,-88.92465,715.0,-21600,America/El_Salvador,CST
33,59.015816,26.089888,97.0,10800,Europe/Tallinn,EEST
